,query,rel,docid
1621,Network Management,4,2123548135
1067,Cloud Data Management,5,1516134969
1337,Enterprise Resource Planning,3,2021501732
516,Embedded Systems,4,2012170825
162,Augmented Reality,1,2139541242
246,Algorithm Design,4,2011995167
355,Game Development,4,2963242953
1800,Sensor Networks,2,2125271712
722,Cloud Data Management,4,2126274497
1851,Software Testing,3,2153344230
1736,Program Analysis,2,2035892768
25,Information Retrieval,5,2169953141
779,Scientific Computing,4,2156165081
1256,Discrete Mathematics,2,2161972193
1142,Program Analysis,3,1481843134
950,Computational Chemistry,5,2046229956
1589,Machine Intelligence,3,1963610264
13,Natural Language Processing,2,2997031942
691,Autonomous Systems,4,1988837728
1290,Visual Analytics,4,2071124968
1846,Software Testing,4,2996972717
1420,Graph Algorithms,4,2998982355
823,Embedded Systems,1,1989261992
688,Operating Systems,1,2031771926
1883,Supply Chain Management Systems,1,2943850763
1592,Mobile Application Development,5,2093886508
149,Augmented Reality,5,2149003305
920,Ubiquitous Computing,1,2114477274
358,Distributed Databases,5,2101346494
1844,Software Testing,4,1678960070
2003,Web Services,2,2137616448
1388,Gesture Recognition,2,2147780311
1220,Statistical Learning,5,2111296615
17,Natural Language Processing,2,2096175520
1028,Autonomous Systems,4,2220500481
244,Algorithm Design,4,2168118255
1765,Scientific Computing,2,2127927798
96,Virtual Reality,4,2104439084
1282,Distributed Databases,4,2005099092
1992,Web Services,4,2090326451
2002,Web Services,2,3004666376
942,Grid Computing,2,2037935247
568,Game Development,1,2019924812
659,Computer Architecture,1,1994174872
220,Robotics,3,2294898062
1381,Gesture Recognition,3,2022171669
321,Database Systems,5,1496528554
1031,Autonomous Systems,4,2106600328
1040,Machine Intelligence,4,2792026792
931,Graph Algorithms,4,1606026804
1111,Online Learning Environments,2,2787728848
1218,Database Management Systems,4,2169379483
1986,Web Services,5,2012024302
604,Deep Learning,1,2582187633
179,Internet of Things,1,2111619626
463,Distributed Systems,2,2070300501
1002,Advanced Algorithms,1,1981230699
1785,Sensor Networks,4,2149690282
524,Computer Graphics,4,1494985239
1746,Quantitative Analysis,3,2132162500
1794,Sensor Networks,3,2166196498
1583,Location-Based Services,1,1995486103
608,Reinforcement Learning,4,2083143894
1303,Distributed Databases,2,2405628490
431,Distributed Systems,5,2117826841
637,Semantic Web,1,1966302589
961,Information Security,5,2117634019
1788,Sensor Networks,3,1993804511
833,Database Management Systems,3,2175812749
894,Ubiquitous Computing,4,2150990214
1140,Program Analysis,3,1671718115
1090,Cloud Data Management,2,2032928189
1352,Enterprise Resource Planning,1,1969874695
1778,Search Engine Optimization,1,2067842160
731,Compiler Design,3,2140480361
710,Business Intelligence,1,2344333429
165,Internet of Things,5,2062978452
634,Grid Computing,2,2167164511
1988,Web Services,5,2032179790
465,Distributed Systems,1,2134890934
871,Web Development Technologies,1,1927880169
677,Operating Systems,2,2199253235
1423,Graph Algorithms,3,2252979829
328,Database Systems,4,2068874033
445,Distributed Systems,4,2049838008
102,Human-Computer Interaction,2,2032254851
345,Computer Graphics,1,2810307462
1294,Visual Analytics,4,2788844524
151,Augmented Reality,4,1970370179
46,Data Mining,2,2070808135
1701,Performance Engineering,1,1996815721
1886,System Dynamics,3,1980021164
1509,IT Governance,3,2165021942
360,Game Development,2,120151848
625,Grid Computing,3,2027865026
276,Parallel Computing,1,2018352428
792,Embedded Systems,5,1992928460
1419,Graph Algorithms,4,1992869351
479,Compiler Design,3,1970780837
301,Software Engineering,2,1975051432
1941,User Interface Design,1,2042270930
758,Computational Finance,2,1527692262
1479,Information Security,2,1988071189
997,Advanced Algorithms,1,3005153256
1751,Risk Management Systems,5,2113413672
1424,Graph Algorithms,3,1972595474
556,Web Development Technologies,4,1964252813
323,Mobile Computing,1,2124351345
1733,Program Analysis,3,2056289513
1353,Workflow Management,1,2085754710
415,Parallel Computing,2,2065309575
369,Distributed Databases,4,2998280153
1952,Virtualization Technology,1,1976520898
1038,Machine Intelligence,5,2101493843
1216,Database Management Systems,4,3003912348
1553,Location-Based Services,4,2031475000
990,Advanced Algorithms,2,2086208228
846,E-commerce Technology,1,3005197022
1898,System Integration,2,2032360190
363,Database Systems,1,2172104706
1447,Health Informatics,1,2774474258
355,Database Systems,2,3002223898
295,Distributed Systems,2,2048014508
15,Natural Language Processing,2,2089967673
976,E-learning Technologies,4,2143403090
194,Edge Computing,2,2108669353
291,Software Engineering,4,1995969037
2030,Workflow Management,4,2117495487
757,High-Performance Computing,5,2049890071
981,E-learning Technologies,1,2053369376
289,Software Engineering,4,3000710102
921,Ubiquitous Computing,1,2147201525
935,Graph Algorithms,3,1591488944
160,Augmented Reality,1,2999344241
354,Database Systems,2,2043213682
720,Compiler Design,5,2126815079
2065,XML Technologies,2,2040988073
1977,Visual Analytics,2,2044135788
613,Reinforcement Learning,3,2626804490
161,Augmented Reality,1,2045379806
132,Virtual Reality,5,2127033666
583,Computational Biology,1,2123406596
253,Algorithm Design,2,1986732422
791,Embedded Systems,5,2139371379
975,IT Governance,4,2110914723
554,Web Development Technologies,5,2533555125
1542,Location-Based Services,5,2889079547
360,Distributed Databases,4,2146183750
1428,Graph Algorithms,2,1847690346
146,Robotics,2,1579553668
1570,Location-Based Services,2,2997741554
1830,Software Quality Assurance,1,3004701248
867,Distributed Databases,3,2127707114
782,High-Performance Computing,1,2072072075
924,Ubiquitous Computing,1,1973389697
218,Robotics,3,2045758229
69,Human-Computer Interaction,2,2132920211
632,Semantic Web,2,2129714799
1027,Autonomous Systems,5,2887179446
554,Game Development,4,2000650798
1970,Visual Analytics,3,1965305253
1957,Visual Analytics,5,2004657296
711,Wireless Communications,2,2998869842
6,Natural Language Processing,4,1513310202
1973,Visual Analytics,3,1975411458
514,Computer Graphics,5,2050462717
1450,Information Security,5,2997429892
8,Natural Language Processing,4,2030458294
1350,Enterprise Resource Planning,1,2137990236
999,Advanced Algorithms,1,2004527331
601,Deep Learning,3,2102017903
257,Algorithm Design,1,2117728416
1149,Content Delivery Networks,2,2135343563
596,Neural Networks,1,2100128988
273,Big Data Analytics,2,2131715540
978,E-learning Technologies,3,2128992388
1910,Text Analytics,4,2997302881
1259,Discrete Mathematics,1,2117862969
1996,Web Services,3,2166309559
1839,Software Testing,5,2005150099
1972,Visual Analytics,3,2103159878
919,Ubiquitous Computing,1,1546305307
1480,Information Security,2,3002066283
467,Wireless Communications,4,2072040232
1946,Virtualization Technology,4,2963669097
1640,Object-Oriented Programming,5,2012408028
1729,Program Analysis,3,1549813142
308,Software Engineering,2,2166195201
728,Compiler Design,4,3004138331
1989,Web Services,5,1941670126
487,Compiler Design,2,1728860260
1053,Mobile Application Development,4,1966596890
2025,Workflow Management,4,3000174606
349,Database Systems,2,1573033214
1578,Location-Based Services,1,2059797076
1448,Health Informatics,1,2163227493
2010,Workflow Management,5,2007888575
759,High-Performance Computing,5,3002874478
1661,Object-Oriented Programming,2,2050645799
674,Operating Systems,2,2998902320
468,Distributed Systems,1,7289649
1700,Performance Engineering,2,2145445683
654,Computer Architecture,2,1975947346
1327,Web Services,2,2026711685
1329,Web Services,1,1556177080
684,Operating Systems,1,2031491316
2021,Workflow Management,4,1984192117
1605,Mobile Application Development,3,2885317468
1766,Scientific Computing,2,2078571717
256,Algorithm Design,2,2168370036
1158,Scientific Computing,5,2883754520
1268,Distributed Databases,5,2094711531
127,Cryptography,1,1859852026
1853,Software Testing,2,2345039647
74,Computer Vision,5,2114319712
1526,Knowledge Discovery,4,1992764659
798,Data Structures,3,2092276439
27,Information Retrieval,4,3000269187
1339,Enterprise Resource Planning,2,3005665239
387,Deep Learning,3,2892341857
167,Internet of Things,4,1619836230
590,Neural Networks,4,1588537248
883,Ubiquitous Computing,5,1994049046
1890,System Integration,5,2000338168
1609,Mobile Application Development,2,2063885226
99,Human-Computer Interaction,3,2164378405
1358,Evolutionary Computation,4,2037640344
381,Computational Biology,2,2123783513
349,Game Development,5,2975857707
1984,Visual Analytics,1,2998003015
391,Deep Learning,1,2963459284
532,Computer Graphics,3,2294798150
1780,Sensor Networks,5,2998609485
747,Cloud Data Management,1,2948513753
1127,Program Analysis,5,2972103753
807,Embedded Systems,3,2110007492
1930,User Interface Design,3,1991523306
654,Digital Forensics,3,2886221244
1296,Visual Analytics,4,2951966432
1897,System Integration,2,2918245750
400,Parallel Computing,5,2039417226
818,Embedded Systems,2,2112281596
1943,User Interface Design,1,3003337857
1770,Scientific Computing,2,2142188478
1111,Computational Finance,4,2064056735
1115,Computational Finance,2,2031388432
2035,Workflow Management,3,2159653605
1440,Health Informatics,3,2058669377
367,Game Development,1,2733395735
1817,Software Quality Assurance,5,2086560537
732,Compiler Design,3,1597122400
402,Parallel Computing,5,2155882878
737,Cloud Data Management,2,2559360880
1343,Enterprise Resource Planning,2,1966995810
87,Computer Vision,1,2088576945
30,Information Retrieval,4,3004899131
520,Computer Graphics,4,3003480192
577,Computational Biology,3,2061242030
794,Embedded Systems,4,2096016522
60,Data Mining,4,2152817912
704,Wireless Communications,3,2154319347
337,Database Systems,3,2136530502
786,High-Performance Computing,1,2018388996
859,Distributed Databases,4,1528490779
686,Operating Systems,1,1989326485
10,Natural Language Processing,2,2548006041
1384,Gesture Recognition,3,1599510591
875,Green Computing,5,2266632848
1134,Content Delivery Networks,4,2040022957
372,Database Systems,1,2026388869
1720,Program Analysis,4,1998915208
51,Artificial Intelligence,3,2997110388
591,Ubiquitous Computing,3,1534823749
124,Cryptography,1,2137602262
387,Network Security,2,2033082111
1169,Data Structures,4,2997592598
269,Big Data Analytics,4,2726150830
242,Algorithm Design,5,2140104028
1243,Database Management Systems,1,1964941055
59,Computer Vision,1,2963826402
1918,User Interface Design,5,1987488917
864,Web Development Technologies,2,2073747649
1187,Data Structures,2,1978840985
1979,Visual Analytics,2,2089815387
1316,Web Services,4,2097164499
732,Cloud Data Management,3,2795614974
383,Network Security,3,2746416264
575,Computational Biology,4,2761069644
261,Big Data Analytics,5,1973747955
710,Wireless Communications,2,2142985555
51,Computer Vision,3,2066941820
629,Grid Computing,3,2171872029
1537,Knowledge Discovery,2,2124986935
585,Computational Biology,1,1973664907
630,Grid Computing,3,125510936
665,Operating Systems,4,2127784167
1601,Mobile Application Development,4,2486107639
2024,Workflow Management,4,3003240989
1535,Knowledge Discovery,2,2157339323
1163,Artificial Intelligence Ethics,1,2584883659
284,Distributed Systems,4,2150853278
67,Data Mining,3,2080547938
921,Graph Algorithms,5,2029342163
107,Human-Computer Interaction,2,1851447855
733,Compiler Design,3,2099958604
1874,Supply Chain Management Systems,3,2164023950
1273,User Interface Design,1,2158422009
312,Software Engineering,1,2092382400
1852,Software Testing,2,2113182468
1879,Supply Chain Management Systems,2,2309883057
397,Network Security,1,2017420094
1904,Text Analytics,5,2051088039
1665,Object-Oriented Programming,2,3000501342
1504,IT Governance,4,3004341690
385,Neural Networks,3,1963882359
925,Grid Computing,5,2151167752
1307,Distributed Databases,2,2115120098
679,API Design,3,2250233356
829,Embedded Systems,1,1913695303
129,Blockchain Technology,4,2781869656
46,Information Retrieval,1,2010028841
145,Virtual Reality,1,2130351016
231,Bioinformatics,3,2998399065
1585,Machine Intelligence,4,1653934510
57,Machine Learning,1,3004001814
599,Deep Learning,5,2790979755
77,Computer Vision,3,2073823857
1915,Text Analytics,1,2555217187
126,Internet of Things,2,1972012147
674,API Design,5,2100809735
33,Artificial Intelligence,3,2624147939
1533,Knowledge Discovery,2,2077573113
207,Cybersecurity,4,2107808196
159,Augmented Reality,1,2010320418
979,E-learning Technologies,1,2019637113
867,E-learning Technologies,5,2095335522
154,Augmented Reality,3,2051076325
91,Human-Computer Interaction,5,1978738035
1709,Program Analysis,5,1988949749
603,Ubiquitous Computing,2,1598464535
827,Embedded Systems,1,2062359435
595,Neural Networks,1,1673923490
1104,Complex Systems,1,2146462985
1923,User Interface Design,4,1995141770
1066,Cloud Data Management,5,2766914983
754,Computational Finance,3,2108985768
188,Cloud Computing,1,2998129464
279,Big Data Analytics,1,2607703888
1436,Health Informatics,5,2148733257
491,Mobile Computing,4,2038377376
944,Graph Algorithms,2,2793058913
936,Grid Computing,4,2167223197
1463,Information Security,4,1602619638
2028,Workflow Management,4,2587995914
113,Quantum Computing,4,2294670621
1955,Virtualization Technology,1,2065933154
877,Green Computing,3,2103383431
806,Embedded Systems,3,2092473117
84,Cryptography,3,1984459117
2055,XML Technologies,4,2103443756
274,Parallel Computing,1,1664707389
118,Quantum Computing,1,2011585646
479,Mobile Computing,5,2096161842
84,Computer Vision,2,2102395981
636,Semantic Web,1,1560267311
2011,Workflow Management,5,189242244
83,Cryptography,5,2129719496
1334,Enterprise Resource Planning,3,3007841595
998,Advanced Algorithms,1,2004527331
1431,Graph Algorithms,1,2024197950
965,Information Security,3,2300663785
897,Evolutionary Computation,3,2090711451
778,Content Delivery Networks,3,2538062086
831,3D Printing,1,2135673422
485,Compiler Design,2,1974706373
1072,Cloud Data Management,4,2148199553
428,Distributed Systems,5,2508555779
266,Big Data Analytics,4,2118023920
628,Grid Computing,3,2048524706
299,Software Engineering,3,2162803481
1434,Health Informatics,5,2161842835
1990,Web Services,4,2071221957
137,Virtual Reality,3,2006073045
482,Mobile Computing,4,2139703775
741,Compiler Design,2,2149756939
280,Big Data Analytics,1,2592314679
1352,Workflow Management,1,2796326125
1697,Performance Engineering,5,1994257332
1364,XML Technologies,2,2154970411
110,Human-Computer Interaction,1,1985053113
2067,XML Technologies,1,2122319854
37,Information Retrieval,3,2065649161
639,Grid Computing,1,2143886692
549,E-commerce Technology,1,1980187009
891,Evolutionary Computation,5,1608057971
493,Mobile Computing,3,2997981583
1581,Location-Based Services,1,2998328690
1937,User Interface Design,1,1975816455
784,High-Performance Computing,1,1993660990
104,Virtual Reality,1,2905238358
1170,Scientific Computing,1,2981468349
0,Natural Language Processing,5,2169818249
502,Mobile Computing,2,1973717784
1192,Data Structures,2,2149242086
1200,Data Structures,1,1970945363
2052,XML Technologies,4,1983259043
96,Human-Computer Interaction,4,2017310186
1593,Mobile Application Development,5,1968867941
199,Software Engineering,2,1585742531
744,Compiler Design,2,1971625158
1711,Program Analysis,5,2093080079
538,Pattern Recognition,1,1514415280
1131,Content Delivery Networks,5,2045079727
1572,Location-Based Services,2,2999121924
840,E-commerce Technology,4,2108057694
1796,Sensor Networks,3,2016460936
2033,Workflow Management,3,1983862942
638,Grid Computing,1,1670717861
569,Game Development,1,2023965785
896,Ubiquitous Computing,3,2532847441
448,Distributed Systems,3,2091776255
424,Parallel Computing,1,2037346171
244,Database Management Systems,1,1520815598
396,Reinforcement Learning,2,1592847719
120,Cryptography,4,2294439931
1757,Scientific Computing,4,2103817093
1345,Workflow Management,3,1577724665
756,Compiler Design,1,2090385753
287,Distributed Systems,3,2153926311
900,Ubiquitous Computing,3,1992665345
1344,Enterprise Resource Planning,2,2113206143
69,Data Mining,3,1566934627
1410,Graph Algorithms,4,2082321848
930,Grid Computing,4,1982838154
911,Gesture Recognition,3,2736431578
199,Edge Computing,1,2972268941
1366,Evolutionary Computation,1,2019046182
252,Algorithm Design,3,1986732422
168,Internet of Things,4,2029758586
1179,Data Structures,3,1798077826
412,Parallel Computing,3,2146123953
1968,Visual Analytics,4,2021648931
471,Wireless Communications,1,2022347495
1241,Database Management Systems,1,2008633193
1141,Program Analysis,3,1591856965
619,Grid Computing,4,1904815815
1378,Gesture Recognition,3,2125834953
1369,Gesture Recognition,5,2073140603
756,Computational Finance,3,2002243597
120,Internet of Things,4,1570011815
12,Natural Language Processing,2,2000577984
494,Mobile Computing,3,2100359002
1982,Visual Analytics,1,2166763164
776,High-Performance Computing,2,2760780548
286,Software Engineering,4,2163851162
961,Digital Forensics,3,2012713286
1741,Program Analysis,1,2119632499
429,Distributed Systems,5,3002114131
306,Mobile Computing,4,1963513516
1147,Program Analysis,2,2883500998
1704,Program Analysis,5,3004389622
988,Advanced Algorithms,3,2046332585
1004,API Design,5,1728842521
820,Embedded Systems,1,2166893828
2059,XML Technologies,3,1968281130
507,Mobile Computing,1,2023441626
1884,Supply Chain Management Systems,1,2075207922
114,Augmented Reality,2,123258387
1328,Enterprise Resource Planning,4,2999419887
1267,Discrete Mathematics,1,1998152720
1040,Autonomous Systems,1,2117376801
552,Game Development,4,2000010706
1861,Software Testing,1,2128204165
808,Embedded Systems,3,2118551527
44,Information Retrieval,1,2136583886
946,Grid Computing,1,3004284496
800,Embedded Systems,3,2161219194
593,Neural Networks,2,1966639131
1302,Distributed Databases,2,2117654209
1444,Health Informatics,2,2084553561
765,High-Performance Computing,4,2111490460
267,Parallel Computing,3,2102061396
418,Web Services,2,2157501505
398,Reinforcement Learning,2,2546571074
1478,Information Security,2,2044839138
1244,Database Management Systems,1,2053179316
1116,Computer Aided Engineering,5,2168758657
411,Parallel Computing,3,2170996473
734,Compiler Design,3,2127282737
1540,Knowledge Discovery,1,2055433197
645,Computational Chemistry,4,2053014304
395,Network Security,1,2999601311
1049,Business Intelligence,5,2996907250
853,Web Development Technologies,4,1979817550
804,Embedded Systems,3,2102481384
1458,Information Security,4,2081526168
1120,Computer Aided Engineering,3,2101237413
1052,Business Intelligence,4,2094239909
517,Computer Graphics,5,1507566112
722,Compiler Design,4,2997711065
1043,Machine Intelligence,1,1896925553
2060,XML Technologies,3,2169465962
992,Knowledge Discovery,4,25086975
1503,IT Governance,4,1973180096
1655,Object-Oriented Programming,3,2129281948
217,Database Systems,4,2037394610
642,Computational Chemistry,5,2291907459
1671,Object-Oriented Programming,2,2021686672
1433,Graph Algorithms,1,2157485453
1360,Evolutionary Computation,3,2012451526
617,Grid Computing,4,2025577327
1534,Knowledge Discovery,2,3000342270
1576,Location-Based Services,1,2107179184
1677,Object-Oriented Programming,1,2067440805
598,Ubiquitous Computing,2,1519374900
1354,Evolutionary Computation,5,2912222576
1829,Software Quality Assurance,1,2157056082
1356,Evolutionary Computation,4,2045846579
1227,Supply Chain Management Systems,5,1548151532
974,IT Governance,4,2079831140
1340,Enterprise Resource Planning,2,2003861643
964,Digital Forensics,2,2912047161
90,Human-Computer Interaction,5,2126520272
1271,Distributed Databases,5,2098958037
888,Ubiquitous Computing,4,2150388519
1997,Web Services,3,2075106684
180,Big Data Analytics,3,2018681530
739,Compiler Design,2,2057651724
652,Digital Forensics,4,138782056
1253,Text Analytics,1,2809385028
62,Data Mining,4,2127282486
155,Augmented Reality,2,2024585795
1239,Database Management Systems,1,2093189534
1013,API Design,2,1998125620
1008,API Design,4,2395092677
897,Ubiquitous Computing,3,1595052838
1541,Knowledge Discovery,1,2054194360
1499,IT Governance,4,2273143200
1646,Object-Oriented Programming,4,1504300023
1316,Distributed Databases,1,2165489676
555,Game Development,4,3005132447
1315,Web Services,4,1488556964
385,Network Security,3,2135870733
426,Parallel Computing,1,2091913208
1109,Computational Finance,4,2065409092
99,Virtual Reality,2,2789736998
1491,Information Security,1,2049214960
973,E-learning Technologies,5,2294970760
903,Ubiquitous Computing,3,2167146080
1243,Text Analytics,4,2291242049
522,Computer Graphics,4,2997972446
1811,Sensor Networks,1,3000196944
566,Web Development Technologies,1,1535046211
987,IT Governance,2,2085424253
537,Pattern Recognition,1,1919767399
425,Semantic Web,1,152377028
719,Compiler Design,5,2051632385
195,Edge Computing,2,2775394714
1586,Machine Intelligence,4,2098856147
1248,Digital Image Processing,2,2167706997
42,Information Retrieval,2,2067802667
1676,Object-Oriented Programming,1,2067742152
1124,Program Analysis,5,2047226031
781,High-Performance Computing,2,1979330015
104,Human-Computer Interaction,2,2028975938
189,Edge Computing,5,2915771847
1306,Distributed Databases,2,2013249278
954,Digital Forensics,5,2504674492
489,Mobile Computing,4,2038122051
587,Ubiquitous Computing,4,2125421778
903,Gesture Recognition,5,1595932190
1242,Text Analytics,5,1613509896
1184,Data Structures,2,2040066104
1971,Visual Analytics,3,2134757269
1254,Discrete Mathematics,2,2087517248
1429,Graph Algorithms,1,2071759604
245,Algorithm Design,4,1496062094
1455,Information Security,5,2024957958
561,Game Development,3,2510671585
1808,Sensor Networks,1,2117176859
550,Game Development,5,3006614568
1299,Visual Analytics,4,2625478334
2001,Web Services,2,2035750649
1495,Information Security,1,1997761579
1633,Network Management,2,2607097720
1799,Sensor Networks,2,2033813804
376,Database Systems,1,2037214271
836,Database Management Systems,3,2548613432
1288,Distributed Databases,3,2996945845
31,Information Retrieval,3,2136729221
1660,Object-Oriented Programming,2,1533004102
1321,Enterprise Resource Planning,5,1545394216
889,Enterprise Resource Planning,1,1997893140
865,Web Development Technologies,2,2095335522
1026,Autonomous Systems,5,2130725804
1525,Knowledge Discovery,4,1549661918
192,Edge Computing,3,2885657717
857,Distributed Databases,4,2013409485
1804,Sensor Networks,2,2147035977
1298,Distributed Databases,2,2083875802
1664,Object-Oriented Programming,2,2115460680
1357,Evolutionary Computation,4,1522440472
1380,Gesture Recognition,3,2134917076
992,Advanced Algorithms,2,2171126197
542,Computer Graphics,1,2008710914
1035,Autonomous Systems,2,2987375645
1188,Data Structures,2,1974514467
1117,Computer Aided Engineering,5,2005419580
647,Computer Architecture,3,2002554499
819,Embedded Systems,1,1581621229
724,Compiler Design,4,2100368493
2012,Workflow Management,5,2156879624
265,Big Data Analytics,5,2948646149
801,Embedded Systems,3,2157048870
1355,Workflow Management,1,2117304302
1286,Distributed Databases,4,2030689196
1255,Discrete Mathematics,2,3003190819
731,Cloud Data Management,3,2772466107
1311,Distributed Databases,1,2003581449
1151,Content Delivery Networks,1,2030185542
1148,Content Delivery Networks,2,2048205386
1266,Discrete Mathematics,1,2016023497
1604,Mobile Application Development,3,2052257316
365,Game Development,1,2052804452
963,Digital Forensics,3,1965613142
166,Internet of Things,5,2048091247
1279,Virtualization Technology,2,2804268566
928,Grid Computing,5,2150363777
785,High-Performance Computing,1,1598377208
1091,Object-Oriented Programming,3,1535103785
296,Software Engineering,3,2037316754
85,Computer Vision,2,2922008219
437,Distributed Systems,4,2009428216
492,Compiler Design,1,2783614532
1002,Knowledge Discovery,3,1977482345
438,Distributed Systems,4,1965725464
1472,Information Security,3,2024488177
399,Reinforcement Learning,1,2580909119
2054,XML Technologies,4,2130619496
655,Computer Architecture,1,1984803709
1400,Gesture Recognition,1,3003499069
1965,Visual Analytics,4,2119477629
951,Computational Chemistry,4,2150345533
1670,Object-Oriented Programming,2,1964016480
40,Information Retrieval,2,2119885359
452,Operating Systems,4,2104413677
532,Embedded Systems,1,1603617612
1060,Business Intelligence,2,3007886070
1694,Online Learning Environments,1,2999995748
1220,Database Management Systems,4,2113970290
2041,Workflow Management,2,2125238230
743,Compiler Design,2,2998034258
797,Embedded Systems,4,2098592421
456,Distributed Systems,2,2123786759
1630,Network Management,2,1788348632
1775,Search Engine Optimization,5,1986991110
899,Ubiquitous Computing,3,2087454547
678,Operating Systems,2,2100638929
134,Virtual Reality,4,2121355015
461,Distributed Systems,2,1992178984
1749,Quantitative Analysis,1,1994789348
1277,Virtualization Technology,4,2114523743
103,Human-Computer Interaction,2,1968198100
397,Reinforcement Learning,2,2049287437
822,Embedded Systems,1,2997909427
1754,Risk Management Systems,2,2143472739
14,Natural Language Processing,2,1519936037
316,Software Engineering,1,2997001793
1152,Content Delivery Networks,1,1980845736
1291,Distributed Databases,3,3005431301
1551,Location-Based Services,4,2125184115
1005,Knowledge Discovery,2,1566263886
1238,System Integration,1,2149998541
1343,Workflow Management,4,2036838283
1691,Online Learning Environments,2,2166730218
571,Green Computing,2,2529248691
1815,Software Quality Assurance,5,2116247135
929,Grid Computing,4,2128530065
974,E-learning Technologies,4,1966634266
547,Game Development,5,2552507948
1921,User Interface Design,4,2169245862
371,Database Systems,1,3004607020
567,Game Development,1,3007212754
1453,Information Security,5,2037104605
1099,Complex Systems,4,2099529102
1024,Location-Based Services,3,2069388449
1920,User Interface Design,5,2075516808
1925,User Interface Design,4,2023192402
378,Computational Biology,2,172445582
394,Network Security,1,2130430857
1108,Online Learning Environments,3,2090570347
1417,Graph Algorithms,4,2592488592
1759,Scientific Computing,4,2163612185
605,Computational Chemistry,5,2582187633
1331,Enterprise Resource Planning,4,2077187160
1058,Mobile Application Development,2,2056165903
1039,Autonomous Systems,2,1940675549
1911,Text Analytics,4,2769984510
1092,Cloud Data Management,1,1485380506
1183,Data Structures,2,2020965855
741,Cloud Data Management,2,1982974296
1079,Cloud Data Management,4,2115234490
1807,Sensor Networks,2,2128037380
176,Internet of Things,1,2087310019
639,Computer Architecture,5,2075775922
1582,Location-Based Services,1,2159777963
771,High-Performance Computing,3,2165831368
1314,Distributed Databases,1,2007547395
975,E-learning Technologies,4,1963893950
538,Computer Graphics,2,2091244316
614,Reinforcement Learning,3,2167425257
1240,Database Management Systems,1,2155063687
1217,Database Management Systems,4,2169379483
563,Game Development,2,2065233705
699,Wireless Communications,5,2122042834
586,Ubiquitous Computing,4,1948677622
1792,Sensor Networks,3,2997148786
1096,Cloud Data Management,1,2133174463
40,Data Mining,4,1570697393
1249,Digital Image Processing,2,2768102683
1012,Location-Based Services,5,1978495872
136,Virtual Reality,3,1639831907
809,Embedded Systems,2,2051610878
941,Graph Algorithms,2,1777838598
137,Cybersecurity,5,2907351452
1171,Data Structures,4,2116908067
1953,Virtualization Technology,1,3000253839
905,Ubiquitous Computing,3,1558430934
139,Virtual Reality,3,2164678318
723,Compiler Design,4,2132722919
874,Distributed Databases,1,2035933658
763,Computer Aided Engineering,2,1514970392
1260,User Interface Design,4,2794079986
701,Wireless Communications,3,2107080958
408,Parallel Computing,4,2155518645
300,Software Engineering,3,2044953699
50,Artificial Intelligence,3,2009677406
1074,Cloud Data Management,4,3127276
955,Digital Forensics,5,2054018023
843,E-commerce Technology,2,2015360984
1323,Enterprise Resource Planning,5,2036636632
1225,Database Management Systems,3,2142086901
7,Natural Language Processing,4,2997528020
1719,Program Analysis,4,2012313588
1167,Data Structures,4,2996867764
914,Ubiquitous Computing,1,22482183
749,Compiler Design,2,2998045821
1848,Software Testing,3,1488690968
1247,Digital Image Processing,3,2167706997
633,Semantic Web,2,2113214500
54,Machine Learning,3,2478307678
931,Grid Computing,4,2158498587
166,Algorithm Design,2,1990173890
1967,Visual Analytics,4,2587299461
908,Ubiquitous Computing,2,2161969471
1212,Database Management Systems,4,2153329411
1265,Discrete Mathematics,1,2027792620
2057,XML Technologies,3,2086742729
1053,Business Intelligence,3,2012854544
442,Distributed Systems,4,1970705443
22,Natural Language Processing,1,2158505321
752,Compiler Design,1,2013134362
39,Information Retrieval,2,1845198550
1063,Mobile Application Development,1,173431760
576,Computational Biology,3,1999591020
1000,Advanced Algorithms,1,2099087967
1985,Web Services,5,2146013510
2039,Workflow Management,2,2111572781
591,Neural Networks,3,171445340
1838,Software Testing,5,2055447156
1255,User Interface Design,5,1491094752
276,Big Data Analytics,2,2304640842
854,Web Development Technologies,4,2089722388
1518,Knowledge Discovery,4,2122354896
177,Internet of Things,1,2037395587
1814,Software Quality Assurance,5,2063804173
687,Operating Systems,1,2143694779
1149,Program Analysis,2,2164726441
1451,Information Security,5,2002356434
626,Semantic Web,2,1491778683
1895,System Integration,3,2074674774
1959,Visual Analytics,5,2085864217
366,Game Development,1,1816760364
147,Augmented Reality,5,2028936041
1333,Workflow Management,5,2139630871
231,Database Systems,2,2154566471
1063,Business Intelligence,2,3007063095
215,Robotics,5,2142689408
1238,Distributed Databases,5,12586210
1075,Cloud Data Management,4,2137435551
767,High-Performance Computing,4,2089759326
668,Operating Systems,4,1979579813
204,Cybersecurity,4,2296181180
336,Database Systems,3,1556530724
1145,Content Delivery Networks,2,2082018017
1044,Machine Intelligence,1,2889270964
1156,Risk Management Systems,2,2150546866
1155,Content Delivery Networks,1,2101051887
675,API Design,4,2346649356
1347,Enterprise Resource Planning,1,2051229880
19,Natural Language Processing,2,1985421360
1342,Workflow Management,4,1983833794
600,Deep Learning,4,2004882387
725,Compiler Design,4,1969650695
